INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182032497,3410,Towed,TOWED MOTOR VEHICLE,A15,41,,4/30/2018 20:24,2018,4,Monday,20,Part Three,LEXINGTON ST,42.3773854,-71.05933256,"(42.37738540, -71.05933256)"
I182032495,3301,Verbal Disputes,VERBAL DISPUTE,C11,335,,4/30/2018 19:03,2018,4,Monday,19,Part Three,BARRY ST,42.30870401,-71.06844484,"(42.30870401, -71.06844484)"
I182032490,3301,Verbal Disputes,VERBAL DISPUTE,D14,796,,4/30/2018 20:40,2018,4,Monday,20,Part Three,COMMONWEALTH AVE,42.35124218,-71.12616899,"(42.35124218, -71.12616899)"
I182032489,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3,443,,4/30/2018 19:50,2018,4,Monday,19,Part Three,HARVARD ST,42.29633742,-71.08071527,"(42.29633742, -71.08071527)"
I182032488,3115,Investigate Person,INVESTIGATE PERSON,C6,189,,4/30/2018 21:06,2018,4,Monday,21,Part Three,BUTTONWOOD ST,42.32250351,-71.05587546,"(42.32250351, -71.05587546)"
I182032486,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",E13,577,,4/30/2018 20:48,2018,4,Monday,20,Part Two,BEETHOVEN ST,42.31572772,-71.09957024,"(42.31572772, -71.09957024)"
I182032486,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E13,577,,4/30/2018 20:48,2018,4,Monday,20,Part Two,BEETHOVEN ST,42.31572772,-71.09957024,"(42.31572772, -71.09957024)"
I182032485,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,22,,4/30/2018 20:22,2018,4,Monday,20,Part One,LONDON ST,42.37476244,-71.0373121,"(42.37476244, -71.03731210)"
I182032483,3301,Verbal Disputes,VERBAL DISPUTE,B2,260,,4/30/2018 19:26,2018,4,Monday,19,Part Three,CHAMBLET ST,42.31578488,-71.07210679,"(42.31578488, -71.07210679)"
I182032482,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",E13,572,,4/30/2018 20:42,2018,4,Monday,20,Part Two,COLUMBUS AVE,42.31440549,-71.09670909,"(42.31440549, -71.09670909)"
