INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182008210,1107,Fraud,FRAUD - IMPERSONATION,, ,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,COBDEN,-1,-1,"(-1.00000000, -1.00000000)"
I172106897,1107,Fraud,FRAUD - IMPERSONATION,A7,20,,7/1/2015 8:00,2015,7,Wednesday,8,Part Two,PARIS ST,42.37702319,-71.0322473,"(42.37702319, -71.03224730)"
I172094797,3115,Investigate Person,INVESTIGATE PERSON,D14,775,,7/1/2015 0:01,2015,7,Wednesday,0,Part Three,WALLINGFORD RD,42.34134946,-71.15122795,"(42.34134946, -71.15122795)"
I172065681,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,258,,7/25/2015 2:00,2015,7,Saturday,2,Part Two,MONADNOCK ST,42.31633855,-71.06879992,"(42.31633855, -71.06879992)"
I172054771,3201,Property Lost,PROPERTY - LOST,A1,86,,7/7/2015 0:01,2015,7,Tuesday,0,Part Three,COOPER ST,42.36444073,-71.05699892,"(42.36444073, -71.05699892)"
I172043679,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,30,,7/15/2015 0:00,2015,7,Wednesday,0,Part Two,COTTAGE ST,42.37010622,-71.03261984,"(42.37010622, -71.03261984)"
I172038128,619,Larceny,LARCENY ALL OTHERS,A1,116,,7/30/2015 0:00,2015,7,Thursday,0,Part One,LINCOLN ST,42.35131763,-71.05838367,"(42.35131763, -71.05838367)"
I172019328,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,449,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,SPENCER ST,42.2920407,-71.07544515,"(42.29204070, -71.07544515)"
I172019328,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B3,449,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,SPENCER ST,42.2920407,-71.07544515,"(42.29204070, -71.07544515)"
I172001219,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,492,,7/29/2015 9:00,2015,7,Wednesday,9,Part Two,HUNTINGTON AVE,42.26560754,-71.11608448,"(42.26560754, -71.11608448)"
I162095420,2629,Harassment,HARASSMENT,C11,397,,7/1/2015 9:00,2015,7,Wednesday,9,Part Two,WELLES AVE,42.28944478,-71.06559395,"(42.28944478, -71.06559395)"
I162059283,1107,Fraud,FRAUD - IMPERSONATION,B2,911,,7/25/2015 11:52,2015,7,Saturday,11,Part Two,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I162054189,616,Larceny,LARCENY THEFT OF BICYCLE,C6,913,,7/7/2015 0:00,2015,7,Tuesday,0,Part One,MOUNT VERNON ST,42.31893277,-71.04541663,"(42.31893277, -71.04541663)"
I162053420,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,472,,7/5/2015 15:22,2015,7,Sunday,15,Part Three,FAVRE ST,42.27310238,-71.09818302,"(42.27310238, -71.09818302)"
I162047496,3201,Property Lost,PROPERTY - LOST,B2,291,,7/31/2015 17:00,2015,7,Friday,17,Part Three,COLUMBUS AVE,42.32987323,-71.09590774,"(42.32987323, -71.09590774)"
I162038434,619,Larceny,LARCENY ALL OTHERS,D14,794,,7/20/2015 19:04,2015,7,Monday,19,Part One,GREYLOCK RD,42.35042708,-71.13496065,"(42.35042708, -71.13496065)"
I162037352,619,Larceny,LARCENY ALL OTHERS,E18,555,,7/22/2015 7:00,2015,7,Wednesday,7,Part One,GREW AVE,42.27631028,-71.12253393,"(42.27631028, -71.12253393)"
I162035599,619,Larceny,LARCENY ALL OTHERS,D4,167,,7/15/2015 0:00,2015,7,Wednesday,0,Part One,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162026724,3114,Investigate Property,INVESTIGATE PROPERTY,B2,291,,7/1/2015 0:01,2015,7,Wednesday,0,Part Three,CEDAR ST,42.32747759,-71.09509472,"(42.32747759, -71.09509472)"
I162020391,2629,Harassment,HARASSMENT,D4,153,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,PEMBROKE ST,42.34252789,-71.07678918,"(42.34252789, -71.07678918)"
I162019924,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,B3,482,,7/21/2015 19:00,2015,7,Tuesday,19,Part One,RIVER ST,42.26681254,-71.09566961,"(42.26681254, -71.09566961)"
I162019910,3201,Property Lost,PROPERTY - LOST,C6,200,,7/6/2015 17:00,2015,7,Monday,17,Part Three,W BROADWAY,42.34274131,-71.05735681,"(42.34274131, -71.05735681)"
I162019013,617,Larceny,LARCENY THEFT FROM BUILDING,A15,45,,7/1/2015 0:00,2015,7,Wednesday,0,Part One,MEDFORD ST,42.38099773,-71.06210065,"(42.38099773, -71.06210065)"
I162016809,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,28,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162014708,619,Larceny,LARCENY ALL OTHERS,D4,138,,7/1/2015 0:00,2015,7,Wednesday,0,Part One,NEWBURY ST,42.3494205,-71.083158,"(42.34942050, -71.08315800)"
I162008993,2629,Harassment,HARASSMENT,E18,489,,7/1/2015 9:00,2015,7,Wednesday,9,Part Two,BLAKE ST,42.26646668,-71.10693548,"(42.26646668, -71.10693548)"
I162007772,617,Larceny,LARCENY THEFT FROM BUILDING,A1,125,,7/15/2015 8:00,2015,7,Wednesday,8,Part One,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)"
I162005669,1107,Fraud,FRAUD - IMPERSONATION,A7,22,,7/1/2015 12:00,2015,7,Wednesday,12,Part Two,BENNINGTON ST,42.3764438,-71.03474021,"(42.37644380, -71.03474021)"
I162004604,1108,Fraud,FRAUD - WELFARE,A7,35,,7/1/2015 0:00,2015,7,Wednesday,0,Part Two,SUMNER ST,42.36830894,-71.03843756,"(42.36830894, -71.03843756)"
I162002935,619,Larceny,LARCENY ALL OTHERS,D14,770,,7/24/2015 9:00,2015,7,Friday,9,Part One,ARLINGTON ST,42.35200052,-71.1531271,"(42.35200052, -71.15312710)"
I162002819,617,Larceny,LARCENY THEFT FROM BUILDING,A1,111,,7/10/2015 14:30,2015,7,Friday,14,Part One,WASHINGTON ST,42.35397632,-71.06207046,"(42.35397632, -71.06207046)"
I162002083,2647,Other,THREATS TO DO BODILY HARM,C6,212,,7/1/2015 9:30,2015,7,Wednesday,9,Part Two,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
I162002083,3170,Other,INTIMIDATING WITNESS,C6,212,,7/1/2015 9:30,2015,7,Wednesday,9,Part Three,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
I162000710,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,626,,7/1/2015 12:04,2015,7,Wednesday,12,Part Two,PARK DR,42.34160357,-71.0977175,"(42.34160357, -71.09771750)"
I152104312,613,Larceny,LARCENY SHOPLIFTING,A1,104,,7/29/2015 10:03,2015,7,Wednesday,10,Part One,WASHINGTON ST,42.35648631,-71.05928145,"(42.35648631, -71.05928145)"
I152102122,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,134,,7/15/2015 15:12,2015,7,Wednesday,15,Part Two,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I152101107,3115,Investigate Person,INVESTIGATE PERSON,A1,111,,7/1/2015 9:00,2015,7,Wednesday,9,Part Three,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
I152101090,3114,Investigate Property,INVESTIGATE PROPERTY,D4,594,,7/1/2015 12:00,2015,7,Wednesday,12,Part Three,MASSACHUSETTS AVE,42.34243945,-71.0844553,"(42.34243945, -71.08445530)"
I152100713,3208,Property Lost,PROPERTY - MISSING,C11,391,,7/24/2015 0:00,2015,7,Friday,0,Part Three,ADAMS ST,42.28397463,-71.05553564,"(42.28397463, -71.05553564)"
I152100445,1107,Fraud,FRAUD - IMPERSONATION,E18,536,,7/24/2015 0:00,2015,7,Friday,0,Part Two,LEIGHTON RD,42.25244012,-71.14307663,"(42.25244012, -71.14307663)"
I152100432,617,Larceny,LARCENY THEFT FROM BUILDING,C11,362,,7/5/2015 12:00,2015,7,Sunday,12,Part One,MOULTRIE ST,42.29128494,-71.0703389,"(42.29128494, -71.07033890)"
I152100432,1001,Counterfeiting,FORGERY / COUNTERFEITING,C11,362,,7/5/2015 12:00,2015,7,Sunday,12,Part Two,MOULTRIE ST,42.29128494,-71.0703389,"(42.29128494, -71.07033890)"
