"","Date","Count"
"1","2015-07-01",273
"2","2015-07-02",251
"3","2015-07-03",250
"4","2015-07-04",234
"5","2015-07-05",223
"6","2015-07-06",272
"7","2015-07-07",250
"8","2015-07-08",246
"9","2015-07-09",222
"10","2015-07-10",283
"11","2015-07-11",235
"12","2015-07-12",244
"13","2015-07-13",262
"14","2015-07-14",271
"15","2015-07-15",281
"16","2015-07-16",251
"17","2015-07-17",274
"18","2015-07-18",213
"19","2015-07-19",229
"20","2015-07-20",261
"21","2015-07-21",252
"22","2015-07-22",255
"23","2015-07-23",271
"24","2015-07-24",283
"25","2015-07-25",250
"26","2015-07-26",169
"27","2015-07-27",261
"28","2015-07-28",251
"29","2015-07-29",257
"30","2015-07-30",241
